robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,-0.0388989,0.766409
-1.27251,-1.2928,-0.215099,0.471119
-2.09908,-0.543042,-0.20845,0.499264
-2.15588,-0.49821,0.252212,-0.202295
-2.23685,-0.398867,0.628998,-0.68716
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,-0.0388989,0.766409
-1.27251,-1.2928,-0.215099,0.471119
-2.09908,-0.543042,-0.20845,0.499264
-2.15588,-0.49821,0.252212,-0.202295
-2.23685,-0.398867,0.628998,-0.68716
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,-0.0388989,0.766409
-1.14036,-1.3345,-0.215099,0.471119
-1.88111,-0.541655,-0.20845,0.499264
-2.15175,-0.167635,0.252212,-0.202295
-2.46216,0.170307,0.628998,-0.68716
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,-0.0388989,0.766409
-1.00694,-1.53978,-0.215099,0.471119
-1.20405,-1.26322,-0.20845,0.499264
-1.60524,-0.901261,0.252212,-0.202295
-2.7817,0.568412,0.628998,-0.68716
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,-0.0388989,0.766409
-0.925602,-1.51147,-0.262278,0.728726
-1.50125,-0.937948,-0.125289,0.150725
-2.29398,-0.345078,0.150284,-0.178392
-2.4981,0.00331164,0.365466,-0.365956
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,-0.0388989,0.766409
-1.00694,-1.53978,-0.262278,0.728726
-1.20405,-1.26322,-0.125289,0.150725
-1.60524,-0.901261,0.150284,-0.178392
-2.79098,0.501537,0.498327,-0.426773
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,-0.0388989,0.766409
-0.931874,-1.45359,-0.262278,0.728726
-1.59776,-0.892012,-0.125289,0.150725
-2.61057,0.729691,0.150284,-0.178392
-2.55386,0.283255,0.498327,-0.426773
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,0.517081,0.17096
-0.931874,-1.45359,-0.262278,0.728726
-1.60524,-0.901261,-0.224968,0.45794
-2.63773,0.80514,-0.125289,0.150725
-2.6445,0.351332,0.150284,-0.178392
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,0.517081,0.17096
-0.931874,-1.45359,-0.262278,0.728726
-1.60524,-0.901261,-0.224968,0.45794
-2.63773,0.80514,-0.125289,0.150725
-2.6445,0.351332,0.150284,-0.178392
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,0.517081,0.17096
-0.925602,-1.51147,-0.262278,0.728726
-1.37648,-0.975608,-0.224968,0.45794
-2.29398,-0.345078,-0.125289,0.150725
-2.4981,0.00331164,0.150284,-0.178392
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.909467,-1.34354,-0.0388989,0.766409
-1.14036,-1.3345,-0.215099,0.471119
-1.88111,-0.541655,-0.200074,0.274333
-2.15175,-0.167635,0.264249,-0.247002
-2.46216,0.170307,0.496677,-0.571813
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.909467,-1.34354,-0.0388989,0.766409
-1.14036,-1.3345,-0.215099,0.471119
-1.88111,-0.541655,-0.200074,0.274333
-2.15175,-0.167635,0.264249,-0.247002
-2.46216,0.170307,0.496677,-0.571813
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.909467,-1.34354,-0.0388989,0.766409
-1.14036,-1.3345,-0.0965652,0.577566
-1.88111,-0.541655,-0.208438,0.367148
-2.15175,-0.167635,-0.23675,0.324082
-2.46216,0.170307,0.500182,-0.478641
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,-0.0388989,0.766409
-0.852331,-1.68337,-0.0965652,0.577566
-1.20405,-1.26322,-0.208438,0.367148
-1.60524,-0.901261,-0.23675,0.324082
-2.7817,0.568412,0.500182,-0.478641
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.2041,-0.586632
-0.931874,-1.45359,1.15205,-0.652455
-1.60524,-0.901261,1.10698,-0.77323
-2.63773,0.80514,1.0081,-0.826938
-2.55386,0.283255,0.960782,-0.821278
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.10715,-0.37692
-0.931874,-1.45359,1.23784,-0.716184
-1.60524,-0.901261,0.56702,-2.09772
-2.63773,0.80514,0.731587,-1.59838
-2.55386,0.283255,0.821879,-1.17798
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.14891,-0.414619
-0.931874,-1.45359,1.10614,-0.515782
-1.60524,-0.901261,1.02342,-0.634781
-2.63773,0.80514,0.979848,-0.755223
-2.55386,0.283255,0.924483,-0.797069
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.50659,-1.40435
-0.91936,-1.53321,1.92092,-1.72664
-1.56831,-0.920623,1.89308,-1.99649
-2.70691,0.392008,1.87701,-1.95037
-2.84642,0.663731,1.35747,-1.31372
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.20574,-0.579799
-0.91936,-1.53321,1.16402,-0.543023
-1.56831,-0.920623,0.98151,-1.05838
-2.70691,0.392008,0.857554,-1.28223
-2.84642,0.663731,0.816754,-1.22667
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.10715,-0.37692
-1.14036,-1.3345,1.23784,-0.716184
-2.70691,0.392008,0.56702,-2.09772
-2.84642,0.663731,0.731587,-1.59838
-2.80248,0.566463,0.821879,-1.17798
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.80729,-0.966969
-1.14036,-1.3345,1.20379,-0.572731
-2.70691,0.392008,1.1629,-0.544033
-2.84642,0.663731,1.14604,-0.650524
-2.80248,0.566463,0.972586,-0.970129
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.20574,-0.579799
-0.931874,-1.45359,1.16402,-0.543023
-1.59776,-0.892012,0.98151,-1.05838
-2.74372,0.709165,0.857554,-1.28223
-2.55386,0.283255,0.816754,-1.22667
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.17558,-0.614451
-1.14036,-1.3345,0.971244,-0.536146
-2.70691,0.392008,1.12676,-0.643571
-2.84642,0.663731,1.0537,-0.689099
-2.79098,0.501537,0.954221,-0.760612
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,1.2063,-0.573634
-0.931874,-1.45359,1.23784,-0.716184
-1.59776,-0.892012,0.56702,-2.09772
-2.61057,0.729691,0.731587,-1.59838
-2.62121,0.170721,0.821879,-1.17798
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.807998,-1.53373,1.30124,-0.871254
-0.931874,-1.45359,1.3353,-1.14826
-1.20194,-1.27418,1.68676,-1.63686
-1.60524,-0.901261,1.89308,-1.99649
-2.79497,0.726913,1.73126,-1.7416
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.807998,-1.53373,1.18133,-0.518004
-0.931874,-1.45359,1.10786,-0.689042
-1.20194,-1.27418,0.56702,-2.09772
-1.60524,-0.901261,0.665637,-1.93394
-2.79497,0.726913,0.860271,-1.57638
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
