robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.4363,0.250808,-3.07712,-0.384532
-0.798105,-2.40811,1.12596,2.32363
5,5,-5,-5
4.00892,0.0992081,-2.97445,-0.428659
-0.170937,-2.64466,1.29804,2.16861
5,5,-5,-5
4.61657,0.0147235,-2.87694,-0.473125
0.494702,-2.81551,1.45998,2.01509
5,5,-5,-5
5.23528,0.00553892,-2.78142,-0.519163
1.17364,-2.91045,1.61663,1.85931
5,5,-5,-5
5.83996,0.0710574,-2.68487,-0.568275
1.83939,-2.92819,1.77249,1.6971
5,5,-5,-5
6.40681,0.201991,-2.58441,-0.622226
2.46666,-2.8762,1.93159,1.52388
5,5,-5,-5
6.91556,0.381489,-2.47729,-0.683064
3.0335,-2.76965,2.09752,1.33464
5,5,-5,-5
7.35075,0.587069,-2.36101,-0.753149
3.52269,-2.62945,2.27327,1.12393
5,5,-5,-5
7.70209,0.793015,-2.23333,-0.835202
3.92207,-2.47982,2.46114,0.885825
5,5,-5,-5
7.96348,0.972866,-2.09236,-0.932368
4.22362,-2.34579,2.66255,0.613862
5,5,-5,-5
8.14004,1.10897,-1.93214,-1.05181
4.43279,-2.24607,2.88406,0.291413
5,5,-5,-5
8.24973,1.2001,-1.7538,-1.19708
4.56923,-2.18426,3.12156,-0.0876485
5,5,-5,-5
8.30562,1.24862,-1.56621,-1.36557
4.64628,-2.15862,3.36062,-0.513291
5,5,-5,-5
8.31846,1.25997,-1.3776,-1.55352
4.67501,-2.16425,3.58867,-0.973724
5,5,-5,-5
8.29748,1.24146,-1.19532,-1.75586
4.66499,-2.19439,3.79564,-1.45537
5,5,-5,-5
8.25109,1.20126,-1.02551,-1.96628
4.62503,-2.24136,3.97444,-1.94309
5,5,-5,-5
8.18756,1.1478,-0.872952,-2.17733
4.56377,-2.29723,4.12113,-2.42056
5,5,-5,-5
8.11539,1.0892,-0.740999,-2.38067
4.49016,-2.35431,4.23492,-2.87076
