robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,0.603826,-0.088866
-0.931874,-1.45359,-0.211585,0.542501
-1.60524,-0.901261,-0.19135,0.216332
-2.38436,0.419852,-0.0691924,0.0336231
-2.63287,0.497288,0.482723,-0.576959
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.03026,-1.34619,0.950191,-0.63579
-0.85523,-1.52074,0.471652,-0.651055
-1.60524,-0.901261,0.299912,-0.647092
-2.41924,-0.0468789,0.262369,-0.702767
-2.67787,0.362333,0.345443,-0.764713
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.03026,-1.34619,0.779264,-0.100669
-0.85523,-1.52074,0.382222,-0.47123
-1.60524,-0.901261,0.150951,-0.41873
-2.43707,0.197952,0.150284,-0.178392
-2.77239,0.489268,0.422037,-0.631179
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.03026,-1.34619,0.0418936,0.648778
-0.85523,-1.52074,0.0618212,0.156349
-1.60524,-0.901261,0.206832,-0.155225
-2.43707,0.197952,0.371356,-0.520167
-2.77239,0.489268,0.603413,-0.648978
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.03026,-1.34619,0.0418936,0.648778
-0.85523,-1.52074,0.0618212,0.156349
-1.60524,-0.901261,0.206832,-0.155225
-2.43707,0.197952,0.371356,-0.520167
-2.77239,0.489268,0.603413,-0.648978
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.03026,-1.34619,0.779264,-0.100669
-0.85523,-1.52074,0.382222,-0.47123
-1.53455,-0.844976,0.150951,-0.41873
-2.43707,0.197952,0.150284,-0.178392
-2.67787,0.362333,0.422037,-0.631179
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,0.689164,0.0999039
-0.825574,-1.55598,0.382581,-0.492084
-1.20124,-1.25479,0.179368,-0.396169
-2.17706,-0.243548,0.12549,-0.326695
-2.79098,0.501537,0.448292,-0.524733
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,0.779264,-0.100669
-0.825574,-1.55598,0.382222,-0.47123
-1.20124,-1.25479,0.150951,-0.41873
-2.17706,-0.243548,0.150284,-0.178392
-2.79098,0.501537,0.422037,-0.631179
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,0.689164,0.0999039
-0.891106,-1.41906,0.382581,-0.492084
-1.60524,-0.901261,0.179368,-0.396169
-2.38436,0.419852,0.12549,-0.326695
-2.70906,0.442148,0.448292,-0.524733
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.936395,-1.4794,0.689164,0.0999039
-0.891106,-1.41906,0.382581,-0.492084
-1.60524,-0.901261,0.179368,-0.396169
-2.38436,0.419852,0.12549,-0.326695
-2.70906,0.442148,0.448292,-0.524733
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.03026,-1.34619,0.689164,0.0999039
-0.833576,-1.43342,0.382581,-0.492084
-1.60524,-0.901261,0.179368,-0.396169
-2.43707,0.197952,0.12549,-0.326695
-2.77239,0.489268,0.448292,-0.524733
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.33598,-1.1334,0.893766,-0.54771
-0.818871,-1.54087,0.559243,-0.487285
-1.28331,-1.07208,0.144789,-0.439656
-2.38516,0.0276051,0.206297,-0.493131
-2.68828,0.654448,0.668766,-0.69771
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.40682,-1.08375,0.462561,0.36764
-0.782237,-1.66869,0.107967,0.337945
-0.854831,-1.65396,-0.0645084,0.273024
-2.5954,0.312379,0.482723,-0.576959
-2.79098,0.501537,0.763297,-0.768326
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.40682,-1.08375,0.796018,-0.268366
-0.782237,-1.66869,0.107967,0.337945
-0.854831,-1.65396,-0.216139,0.54029
