robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-2.0914,-0.376262,1.26943,-0.653093
-2.42967,-0.0342355,1.36577,-0.62916
-3.05808,0.872261,1.82994,-1.07183
-3.59389,1.46425,1.84718,-1.23796
-3.38146,1.10564,1.38338,-1.15713
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.00938,-0.557216,1.26943,-0.653093
-2.10818,-0.315633,1.36577,-0.62916
-3.26798,1.3254,1.82994,-1.07183
-3.53219,1.29599,1.84718,-1.23796
-3.22455,0.958149,1.38338,-1.15713
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.0914,-0.376262,1.26943,-0.653093
-2.42967,-0.0342355,1.36577,-0.62916
-3.05808,0.872261,1.82994,-1.07183
-3.59389,1.46425,1.84718,-1.23796
-3.38146,1.10564,1.38338,-1.15713
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.0914,-0.376262,2.00961,-1.73417
-2.42967,-0.0342355,2.13071,-2.01213
-3.05808,0.872261,1.84702,-1.723
-3.59389,1.46425,1.34221,-1.22258
-3.39292,1.22591,1.12111,-1.01129
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.968,-0.551286,2.00961,-1.73417
-2.21985,-0.2413,2.13071,-2.01213
-3.26798,1.3254,1.84702,-1.723
-3.55758,1.34257,1.34221,-1.22258
-3.22455,0.958149,1.12111,-1.01129
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.968,-0.551286,1.54396,-0.912293
-2.21985,-0.2413,1.88792,-1.22459
-3.26798,1.3254,2.01699,-1.38472
-3.55758,1.34257,1.77491,-1.47566
-3.22455,0.958149,1.29889,-1.18006
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.48194,0.150396,1.54396,-0.912293
-2.96388,0.900792,1.88792,-1.22459
-3.2956,1.21772,2.01699,-1.38472
-3.22494,1.26746,1.77491,-1.47566
-3.2803,1.08817,1.29889,-1.18006
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.48194,0.150396,1.54396,-0.912293
-2.96388,0.900792,1.88792,-1.22459
-3.2956,1.21772,2.01699,-1.38472
-3.22494,1.26746,1.78792,-1.29125
-3.2803,1.08817,1.1839,-0.976979
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.48194,0.150396,1.54396,-0.912293
-2.96388,0.900792,1.88792,-1.22459
-3.25414,1.34188,2.01699,-1.38472
-3.22494,1.26746,1.78792,-1.29125
-3.19284,0.995206,1.1839,-0.976979
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.74648,0.67265,1.7345,-1.23735
-3.46538,1.59535,2.12932,-1.72216
-3.64767,1.66795,2.11549,-1.76037
-3.39292,1.22591,1.58661,-1.34972
-3.11177,0.892916,1.15423,-1.03962
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.74648,0.67265,1.54396,-0.912293
-3.46538,1.59535,1.87264,-1.19257
-3.64767,1.66795,2.01699,-1.38472
-3.39292,1.22591,1.78792,-1.29125
-3.11177,0.892916,1.1839,-0.976979
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.968,-0.551286,1.54396,-0.912293
-2.10818,-0.315633,1.87264,-1.19257
-3.26798,1.3254,2.01699,-1.38472
-3.55758,1.34257,1.78792,-1.29125
-3.22455,0.958149,1.1839,-0.976979
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.968,-0.551286,1.54396,-0.912293
-2.10818,-0.315633,1.87264,-1.19257
-3.26798,1.3254,2.01699,-1.38472
-3.55758,1.34257,1.78792,-1.29125
-3.22455,0.958149,1.1839,-0.976979
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.968,-0.551286,1.58359,-1.032
-2.10818,-0.315633,1.91909,-1.41638
-3.26798,1.3254,2.17733,-1.86583
-3.55758,1.34257,1.69927,-1.64248
-3.22455,0.958149,1.17154,-1.08736
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.968,-0.551286,1.58359,-1.032
-2.10818,-0.315633,1.91909,-1.41638
-3.26798,1.3254,2.17733,-1.86583
-3.55758,1.34257,1.69927,-1.64248
-3.22455,0.958149,1.17154,-1.08736
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.968,-0.551286,1.52644,-1.01624
-2.10818,-0.315633,2.20416,-1.81364
-3.26798,1.3254,2.06716,-1.86991
-3.55758,1.34257,1.71426,-1.72161
-3.22455,0.958149,1.25982,-1.28079
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.31048,-0.325754,1.80888,-1.30588
-2.63826,0.480908,2.00745,-1.56355
-3.2186,1.28309,2.15114,-1.75342
-3.55758,1.34257,1.66116,-1.7777
-3.22455,0.958149,1.29235,-1.30228
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.05464,-0.710606,1.26943,-0.653093
-2.20548,-0.543105,1.36577,-0.62916
-3.38819,1.44049,1.93106,-1.14098
-3.47508,1.27615,1.84718,-1.23796
-3.25807,1.02028,1.4124,-1.1494
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.05464,-0.710606,1.76529,-1.13959
-2.20548,-0.543105,2.20907,-1.6535
-3.38819,1.44049,2.11549,-1.76037
-3.47508,1.27615,1.58661,-1.34972
-3.25807,1.02028,1.15423,-1.03962
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.05464,-0.710606,1.58359,-1.032
-2.20548,-0.543105,2.00745,-1.56355
-3.38819,1.44049,2.27251,-1.71788
-3.47508,1.27615,1.82772,-1.83021
-3.25807,1.02028,1.25982,-1.28079
