robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-2.0914,-0.376262,1.26943,-0.653093
-2.42967,-0.0342355,1.36577,-0.62916
-3.05808,0.872261,1.82994,-1.07183
-3.59389,1.46425,1.84718,-1.23796
-3.38146,1.10564,1.38338,-1.15713
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04356,-0.554372,1.26943,-0.653093
-2.11433,-0.499509,1.36577,-0.62916
-2.51226,0.277934,1.82994,-1.07183
-3.46538,1.59535,1.84718,-1.23796
-3.57211,1.39201,1.38225,-1.09682
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.06914,-0.535546,1.26943,-0.653093
-2.51061,0.280015,1.36577,-0.62916
-2.9179,0.984596,1.82994,-1.07183
-3.67234,1.78498,1.84718,-1.23796
-3.49188,1.42474,1.32812,-1.05705
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.0914,-0.376262,1.26943,-0.653093
-2.42967,-0.0342355,1.36577,-0.62916
-3.05808,0.872261,1.82994,-1.07183
-3.59389,1.46425,1.84718,-1.23796
-3.38146,1.10564,1.32812,-1.05705
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.94947,-0.533051,1.58359,-1.032
-2.45892,0.497692,2.00745,-1.56355
-2.94429,1.30607,2.17733,-1.86583
-3.45017,1.62851,1.71426,-1.72161
-3.49188,1.42474,1.25982,-1.28079
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.0914,-0.376262,1.58359,-1.032
-2.42967,-0.0342355,2.00745,-1.56355
-3.05808,0.872261,2.17733,-1.86583
-3.67123,1.51491,1.71426,-1.72161
-3.27269,1.07939,1.25982,-1.28079
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.09744,-0.421317,1.58359,-1.032
-2.20713,-0.226314,2.00745,-1.56355
-3.33399,1.55677,2.17733,-1.86583
-3.62327,1.92087,1.71426,-1.72161
-3.49312,1.43578,1.25982,-1.28079
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.09744,-0.421317,1.58359,-1.032
-2.20713,-0.226314,2.00745,-1.56355
-3.33399,1.55677,2.17733,-1.86583
-3.62327,1.92087,1.71426,-1.72161
-3.49312,1.43578,1.25982,-1.28079
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.08185,-0.53822,1.54396,-0.912293
-2.20713,-0.226314,1.88792,-1.22459
-3.03664,0.889658,2.01699,-1.38472
-3.36386,1.44315,1.78792,-1.29125
-3.49312,1.43578,1.34396,-1.04563
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.25202,-0.301962,1.46829,-0.853331
-2.50528,0.0234594,1.61081,-0.975885
-3.11012,1.30821,2.12932,-1.72216
-3.34573,1.4806,1.58661,-1.34972
-3.39546,1.43659,1.18457,-1.06265
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.25317,-0.309335,1.46829,-0.853331
-2.79355,0.588202,1.61081,-0.975885
-3.25904,1.36549,2.12932,-1.72216
-3.46538,1.59535,1.58661,-1.34972
-3.55758,1.34257,1.18457,-1.06265
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.08994,-0.500837,1.58359,-1.032
-2.42967,-0.0342355,2.00745,-1.56355
-3.05808,0.872261,2.17733,-1.86583
-3.49894,1.14858,1.71426,-1.72161
-3.23306,0.95693,1.33241,-1.21519
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.13505,-0.576416,1.49239,-0.818174
-2.2646,-0.329126,1.76529,-1.13959
-3.02038,0.865986,2.12932,-1.72216
-3.34573,1.4806,1.64779,-1.39504
-2.95786,0.727975,1.13825,-1.12875
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.42967,-0.0342355,1.49239,-0.818174
-2.73724,0.417374,1.76529,-1.13959
-3.05808,0.872261,2.12932,-1.72216
-3.47508,1.27615,1.64779,-1.39504
-3.01369,0.725316,1.1207,-1.19031
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.50528,0.0234594,1.49239,-0.818174
-2.75633,0.504463,1.76529,-1.13959
-3.25904,1.36549,2.12932,-1.72216
-3.55758,1.34257,1.64779,-1.39504
-3.22455,0.958149,1.1207,-1.19031
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.08994,-0.500837,1.58359,-1.032
-2.94429,1.30607,2.00745,-1.56355
-3.27813,1.67107,2.17733,-1.86583
-3.49188,1.42474,1.71426,-1.72161
-3.19519,1.00477,1.43429,-1.19291
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.05043,-0.535378,1.58359,-1.032
-2.21394,-0.23409,2.00745,-1.56355
-3.19545,1.16397,2.17733,-1.86583
-3.4991,1.33962,1.71426,-1.72161
-3.39292,1.22591,1.43429,-1.19291
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.0616,-0.476093,1.58359,-1.032
-2.21394,-0.23409,2.00745,-1.56355
-3.08743,1.03647,2.17733,-1.86583
-3.37019,1.27854,1.71426,-1.72161
-3.14111,0.917659,1.43429,-1.19291
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.15262,-0.384686,1.8294,-1.0912
-2.45403,0.137166,2.05464,-1.61486
-2.99523,0.803165,2.20416,-1.81364
-3.25807,1.02028,1.92852,-1.84599
-3.36867,1.07602,1.43732,-1.36438
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.15262,-0.384686,1.8294,-1.0912
-2.45403,0.137166,2.05464,-1.61486
-2.99523,0.803165,2.20416,-1.81364
-3.25807,1.02028,1.92852,-1.84599
