robo1_x,robo1_y,robo2_x,robo2_y
3,3,-3,-3
7.69058,1.2684,-1.18821,1.6602
12.3966,2.95771,2.93847,4.48341
3,3,-3,-3
-1.80846,4.37067,1.96614,-3.5809
1.41012,0.544346,3.84952,1.05083
3,3,-3,-3
-1.83592,4.27038,-2.31262,-7.95253
1.52369,0.567264,-3.29805,-3.05059
3,3,-3,-3
-1.99276,3.26899,-7.35919,-5.44897
1.88802,0.116285,-9.39184,-0.880786
3,3,-3,-3
-1.99583,3.20413,-7.42177,-0.665921
1.79298,-0.0585217,-7.58034,4.33156
3,3,-3,-3
-1.52924,0.881983,-4.02839,1.8931
-0.506835,-4.01237,-0.7332,5.65365
3,3,-3,-3
-1.68228,1.24608,0.10805,0.916635
-4.9505,-2.53793,5.08307,1.4158
