robo1_x,robo1_y,robo2_x,robo2_y
3,3,-3,-3
7.91398,2.07655,-1.18821,1.6602
11.0562,5.96579,2.93847,4.48341
3,3,-3,-3
-1.36815,5.43296,1.96614,-3.5809
-0.726659,0.474283,3.84952,1.05083
3,3,-3,-3
-1.80084,4.39713,-2.31262,-7.95253
0.422664,-0.0812648,-3.29805,-3.05059
3,3,-3,-3
-1.9595,3.63511,-7.35919,-5.44897
0.943371,-0.435928,-9.39184,-0.880786
3,3,-3,-3
-1.9595,3.63511,-7.42177,-0.665921
0.943371,-0.435928,-7.58034,4.33156
3,3,-3,-3
-1.52924,0.881983,-4.02839,1.8931
-0.506835,-4.01237,-0.7332,5.65365
3,3,-3,-3
-1.68228,1.24608,0.10805,0.916635
-4.9505,-2.53793,5.08307,1.4158
