robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
2.77792,0.520897,-3.35322,-0.278971
-1.40529,-2.21786,0.849893,2.42914
5,5,-5,-5
2.63795,0.593103,-3.52375,-0.2229
-1.43657,-2.30487,0.753497,2.36653
5,5,-5,-5
2.49988,0.66994,-3.69819,-0.172443
-1.45908,-2.38401,0.650331,2.29541
5,5,-5,-5
2.3642,0.751171,-3.87486,-0.128237
-1.47301,-2.45443,0.541603,2.21586
5,5,-5,-5
2.23137,0.836508,-4.052,-0.0906921
-1.47874,-2.51538,0.428661,2.12823
5,5,-5,-5
2.10182,0.925621,-4.22781,-0.0599871
-1.47679,-2.5663,0.31298,2.03314
5,5,-5,-5
1.97597,1.01813,-4.40047,-0.0360742
-1.46785,-2.60679,0.196134,1.93148
5,5,-5,-5
1.85418,1.11364,-4.56814,-0.0186855
-1.45271,-2.63663,0.0797821,1.82437
5,5,-5,-5
1.73678,1.21168,-4.72901,-0.00734874
-1.43231,-2.65573,-0.0343531,1.71316
5,5,-5,-5
1.62406,1.31177,-4.88132,-0.00140879
-1.40769,-2.66422,-0.144507,1.59941
5,5,-5,-5
1.52182,1.40803,-5.03077,-9.47004e-05
-1.37164,-2.6697,-0.255326,1.48149
5,5,-5,-5
1.43242,1.49681,-5.18215,-0.00331887
-1.32018,-2.6773,-0.370866,1.35741
5,5,-5,-5
1.3513,1.58138,-5.33224,-0.0110502
-1.25897,-2.68318,-0.488341,1.22858
5,5,-5,-5
1.2743,1.66546,-5.47785,-0.0228868
-1.19334,-2.68319,-0.604852,1.09687
5,5,-5,-5
1.19764,1.75315,-5.61586,-0.0380739
-1.12827,-2.67293,-0.717407,0.96448
5,5,-5,-5
1.11794,1.84887,-5.74319,-0.0555422
-1.06842,-2.64778,-0.822954,0.833976
5,5,-5,-5
1.03229,1.95742,-5.85684,-0.073965
-1.01797,-2.60289,-0.918395,0.708174
5,5,-5,-5
0.938358,2.084,-5.95389,-0.0918334
