robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
2.89859,0.46303,-3.30429,-0.296324
-1.37742,-2.12844,0.843791,2.49535
5,5,-5,-5
2.88045,0.471477,-3.42141,-0.255735
-1.38794,-2.13252,0.747833,2.50423
5,5,-5,-5
2.86377,0.479324,-3.5395,-0.218061
-1.39746,-2.13638,0.650662,2.51004
5,5,-5,-5
2.84746,0.487065,-3.65849,-0.183327
-1.4067,-2.14013,0.552349,2.51276
5,5,-5,-5
2.83048,0.495204,-3.7783,-0.151552
-1.41633,-2.14385,0.452968,2.51235
5,5,-5,-5
2.81176,0.504266,-3.89886,-0.122757
-1.42704,-2.14763,0.35259,2.50881
5,5,-5,-5
2.79027,0.514793,-4.0201,-0.0969602
-1.43948,-2.15152,0.251288,2.50212
5,5,-5,-5
2.76496,0.527351,-4.14194,-0.0741762
-1.4543,-2.15553,0.149135,2.49227
5,5,-5,-5
2.73482,0.542538,-4.26431,-0.0544197
-1.47211,-2.15963,0.0462059,2.47924
5,5,-5,-5
2.69886,0.560995,-4.38713,-0.0377025
-1.49347,-2.16377,-0.0574259,2.46302
5,5,-5,-5
2.66818,0.577038,-4.51312,-0.0237614
-1.51393,-2.1634,-0.164414,2.44377
5,5,-5,-5
2.64989,0.586724,-4.64377,-0.0127058
-1.53055,-2.15625,-0.276224,2.42133
5,5,-5,-5
2.63719,0.593514,-4.77716,-0.00496825
-1.54596,-2.14534,-0.390973,2.39532
5,5,-5,-5
2.62329,0.600993,-4.91133,-0.000786347
-1.56267,-2.13355,-0.506751,2.36558
5,5,-5,-5
2.6015,0.612839,-5.04431,-0.000196367
-1.58318,-2.12368,-0.621636,2.33217
5,5,-5,-5
2.56517,0.632894,-5.17415,-0.00303388
-1.60985,-2.11833,-0.733703,2.29531
5,5,-5,-5
2.50789,0.66533,-5.2989,-0.00894226
-1.64468,-2.11967,-0.841041,2.25545
5,5,-5,-5
2.42356,0.714916,-5.41664,-0.0173888
