robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.37281,-0.797613
-2.17659,-0.306869,1.46745,-0.896294
-2.89301,1.05379,1.78603,-1.43159
-3.45045,1.72793,1.61655,-1.4679
-3.25564,1.33591,1.26072,-1.11026
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.28014,-0.696235
-2.51537,0.322614,1.38684,-0.823152
-3.06003,1.38735,1.79872,-1.39812
-3.4339,1.68024,1.65656,-1.44465
-3.19541,1.22633,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.28014,-0.696235
-2.17659,-0.306869,1.38684,-0.823152
-2.84878,0.93806,1.79872,-1.39812
-3.45045,1.72793,1.65656,-1.44465
-3.34635,1.47098,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.28014,-0.696235
-2.17659,-0.306869,1.38684,-0.823152
-2.84878,0.93806,1.79872,-1.39812
-3.45045,1.72793,1.65656,-1.44465
-3.34635,1.47098,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.44791,-0.924148
-2.17659,-0.306869,1.69583,-1.2483
-2.84878,0.93806,1.81914,-1.44225
-3.45045,1.72793,1.73162,-1.41858
-3.34635,1.47098,1.17158,-1.00724
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.44791,-0.924148
-2.17659,-0.306869,1.69583,-1.2483
-2.84878,0.93806,1.81914,-1.44225
-3.45045,1.72793,1.73162,-1.41858
-3.34635,1.47098,1.17158,-1.00724
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.10702,-0.451161,1.61715,-1.16047
-2.17659,-0.306869,1.72043,-1.31695
-2.89301,1.05379,1.79967,-1.5714
-3.45045,1.72793,1.3524,-1.37672
-3.34635,1.47098,1.12652,-1.11224
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.10702,-0.451161,1.28014,-0.696235
-2.17659,-0.306869,1.38684,-0.823152
-2.89301,1.05379,1.79872,-1.39812
-3.45045,1.72793,1.72667,-1.4497
-3.34635,1.47098,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.28014,-0.696235
-2.17659,-0.306869,1.38684,-0.823152
-2.84878,0.93806,1.79872,-1.39812
-3.4339,1.68024,1.72667,-1.4497
-3.30905,1.25672,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.40945,-0.832546
