robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.68622,-1.27231
-2.51537,0.322614,1.77177,-1.36332
-3.08279,1.32117,1.77972,-1.39967
-3.4339,1.68024,1.60044,-1.34407
-3.19541,1.22633,1.10076,-1.02691
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.68622,-1.27231
-2.51537,0.322614,1.77177,-1.36332
-3.08279,1.32117,1.77972,-1.39967
-3.4339,1.68024,1.60044,-1.34407
-3.19541,1.22633,1.10076,-1.02691
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.63977,-1.30177
-2.51537,0.322614,1.77177,-1.36332
-3.08279,1.32117,1.77972,-1.39967
-3.4339,1.68024,1.60044,-1.34407
-3.19541,1.22633,1.10076,-1.02691
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.63977,-1.30177
-2.51537,0.322614,1.77177,-1.36332
-3.08279,1.32117,1.77972,-1.39967
-3.4339,1.68024,1.60044,-1.34407
-3.19541,1.22633,1.10076,-1.02691
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.2164,-0.17434,1.47933,-0.977179
-2.73621,0.80258,1.85193,-1.57615
-3.0199,1.27798,1.87544,-1.68358
-3.4339,1.68024,1.52436,-1.51802
-3.00506,0.895404,1.1071,-0.991861
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.2164,-0.17434,1.47933,-0.977179
-2.73621,0.80258,1.85193,-1.57615
-3.0199,1.27798,1.87544,-1.68358
-3.4339,1.68024,1.52436,-1.51802
-3.00506,0.895404,1.1071,-0.991861
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.21617,-0.277518,1.47933,-0.977179
-2.52366,0.323754,1.85193,-1.57615
-3.08279,1.32117,1.87544,-1.68358
-3.4339,1.68024,1.52436,-1.51802
-3.13604,1.13877,1.1071,-0.991861
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.30998,0.0368266,1.47933,-0.977179
-2.49344,0.381481,1.85193,-1.57615
-3.06502,1.34028,1.87544,-1.68358
-3.34127,1.74951,1.52436,-1.51802
-3.31747,1.57194,1.1071,-0.991861
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.30998,0.0368266,1.48253,-1.15561
-2.49344,0.381481,1.85193,-1.57615
-3.06502,1.34028,1.87544,-1.68358
-3.34127,1.74951,1.52436,-1.51802
-3.31747,1.57194,1.1071,-0.991861
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.30998,0.0368266,1.48253,-1.15561
-2.49344,0.381481,1.84354,-1.41937
-3.06502,1.34028,1.77972,-1.39967
-3.34127,1.74951,1.60044,-1.34407
-3.31747,1.57194,1.10076,-1.02691
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.48253,-1.15561
-2.18336,-0.257447,1.84354,-1.41937
-2.89301,1.05379,1.77972,-1.39967
-3.45045,1.72793,1.60044,-1.34407
-3.25564,1.33591,1.10076,-1.02691
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
